Biological Feature,Current Damaged Value,Target Rescued Value,Required Delta,Scaled Impact
Helix_to_Coil,0.8534,21.622783660888672,20.76938366088867,10.0
Local_Global_Ratio,0.52065934,3.3927226066589355,2.8720632666589356,10.0
Loop_Score,0.477904,25.111352920532227,24.633448920532228,10.0
BLOSUM62,0.0,13.07076644897461,13.07076644897461,10.0
Zinc_Score,0.076806,27.605499267578125,27.528693267578124,10.0
Hydrophobic_Exposure,406.320808,1308.0279541015625,901.7071461015626,10.0
Total_SASA_Change,297.4099,2519.155029296875,2221.745129296875,10.0
DBD_Contact_Loss_Pct,1.3142360000000002,6.939369201660156,5.625133201660156,10.0
Total_SS_Changes,34.136,155.54244995117188,121.40644995117188,10.0
SS_Change_Pct,8.687612,39.57819747924805,30.890585479248045,10.0
PC2,54.603518900000005,591.011474609375,536.407955709375,10.0
DBD_Changes,8.534,56.247745513916016,47.71374551391602,10.0
Volume_Change,17.238680000000016,-186.30462646484375,-203.54330646484377,-7.598707675933838
In_Loop,0.8534,-0.2374958097934724,-1.0908958097934724,-2.4481208324432373
PC1,170.2963967,-62.505767822265625,-232.80216452226563,-2.3896117210388184
Residues_Above_10A,325.9988,111.34481811523438,-214.65398188476564,-2.1905956268310547
Charge_Change,0.7680600000000001,-0.22958633303642273,-0.9976463330364228,-1.7408300638198853
ARES,35.620916,16.38841438293457,-19.23250161706543,-1.602486491203308
In_DBD,0.8534,0.40202876925468445,-0.4513712307453156,-1.3666017055511475
Residues_Above_5A,331.9726,227.7642822265625,-104.2083177734375,-1.2176156044006348
Rewiring_Energy,43.873294,24.441570281982422,-19.43172371801758,-1.1707831621170044
Mean_Displacement,22.73679484,14.516868591308594,-8.219926248691408,-1.1472982168197632
Preservation_Rate,84.11110400000001,61.36096954345703,-22.75013445654298,-1.1116828918457031
RMSD,27.18403292,18.629154205322266,-8.554878714677734,-1.0323405265808105
DNA_Contact_Score,0.034136,-2.0509557723999023,-2.0850917723999025,-0.9252956509590149
In_DNA_Contact,0.0,-0.2876611053943634,-0.2876611053943634,-0.902676522731781
MW_Change,16.25727000000001,-1.5940666198730469,-17.851336619873056,-0.8617708086967468
DBCA_Score,26.020166,17.942476272583008,-8.077689727416992,-0.8063257336616516
Max_Displacement,69.27756122,51.74900436401367,-17.528556855986324,-0.7287262678146362
In_Zinc,0.0,-0.17629578709602356,-0.17629578709602356,-0.6104278564453125
Contacts_Lost,6.8272,5.268759250640869,-1.5584407493591312,-0.4943380653858185
TM_Score,0.104063596,0.06939679384231567,-0.03466680215768432,-0.30207592248916626
